Uniform	Exponential	Cauchy
3.54612	1.44385	-0.383739
3.31022	0.837736	0.680172
3.71464	0.707102	-0.189698
3.33629	0.606916	5.05049
3.38143	1.01072	-0.165674
3.60032	1.44812	-0.870081
3.05505	0.96399	-4.34726
3.52938	0.981093	-0.626009
3.34786	1.28191	0.82793
3.27883	0.931578	2.70619
3.39017	0.545932	-0.87349
3.4651	0.57559	-0.468932
3.4116	0.698338	-7.98706
3.82696	0.692673	14.4464
4.01369	0.452481	-0.264099
3.9045	0.711508	-8.95591
3.79968	1.45286	-1.08728
3.36765	1.64747	-0.813139
3.57362	0.740704	-0.149333
3.88022	0.580617	3.48642
3.15115	1.00814	-0.525132
2.38587	1.01488	-0.336985
3.37854	0.454743	-3.34942
3.54667	0.725944	-3.28525
3.2406	0.75469	0.554075
3.91357	1.0898	1.64246
4.01606	1.48466	-0.251909
3.48328	1.16388	-4.7854
2.44232	1.19652	-0.414227
2.88358	0.798538	-4.20835
3.46925	1.03319	0.460728
2.87568	0.908531	-0.396119
2.66942	1.11247	-0.108549
3.0793	1.06703	-1.5059
3.54557	0.555931	-0.105665
3.78495	1.11978	7.12889
3.71398	0.584361	-2.80034
2.95476	1.41596	-1.77834
3.68678	0.942968	3.69102
3.12517	0.997392	0.419978
3.73034	0.831732	0.367931
3.57211	0.688179	-1.14825
3.60721	1.08426	-93.0986
2.50462	1.3983	-2.94988
3.54551	1.28111	0.562438
3.50164	1.06846	0.744892
3.21171	0.952911	-23.8784
3.24619	1.10557	0.746196
3.54652	1.17851	2.09679
2.75148	0.943173	-0.900122
3.87347	0.805618	16.899
3.68785	1.55619	-0.198872
3.08647	1.04752	-5.94715
3.14256	0.813167	-0.564803
3.9058	1.07136	1.08205
3.27374	0.893178	-0.441249
2.66717	1.07649	0.516153
3.01624	1.22861	1.13594
2.44092	0.755418	0.99983
3.9823	1.22096	-0.264756
3.59753	1.06299	-0.747691
3.7604	0.971414	1.18048
2.93262	1.07955	-8.58487
3.29718	0.808534	-4.45375
3.39379	0.948101	0.853805
2.86195	1.1687	1.02142
3.6287	0.847736	0.111957
3.21269	1.13439	-0.841433
3.87838	0.671813	-0.387563
3.54153	0.790496	-0.185813
3.6128	0.927567	9.37692
3.67495	0.938133	0.986236
2.75121	0.460622	0.0109966
2.99903	0.820822	1.54862
2.89441	0.98938	1.50375
3.89552	0.641135	1.99342
3.34827	1.63025	0.308197
3.39577	0.624955	-0.476815
3.52946	1.49843	-0.57836
3.63438	0.806811	-0.706402
2.86893	0.757298	-3.03741
2.92232	1.53952	-0.866282
3.88304	1.32721	1.50269
3.83403	1.14657	-0.280318
4.0447	0.962557	-0.386633
3.1482	0.778475	0.187165
2.89958	0.756078	1.79568
3.89706	0.520188	0.633695
3.03864	1.35878	-0.224329
3.82266	1.4761	-1.09032
4.12466	0.851178	-0.299952
2.93419	0.540663	-4.63857
2.80602	1.71693	-1.79942
3.39319	1.03036	-0.203605
3.72684	0.85189	0.0601195
3.47051	0.588968	6.38731
3.21324	0.879367	-0.036184
3.73115	1.25086	1.71363
3.3963	0.919382	-0.418432
3.38221	0.756096	2.36408
3.4034	1.13546	0.880322
2.40155	2.42077	7.5146
3.75155	0.531805	-0.532391
3.74673	0.70039	1.77519
3.71326	1.45767	6.8199
2.78671	1.10835	-0.331075
3.76386	0.780425	-44.7839
3.32424	0.922569	0.775375
3.38799	1.17258	-1.21241
2.97114	0.757394	-1.32285
4.21338	1.13415	-3.63977
3.04825	1.22437	26.112
2.90609	0.569205	-1.11266
3.51756	1.14551	0.0711056
3.31954	1.32823	1.51258
4.18896	1.09226	-0.00325034
3.91872	1.16156	6.8613
4.61186	1.20689	5.3559
3.4424	1.5275	-14.8788
3.26231	1.39566	0.554741
3.12376	1.13115	-0.50322
3.52721	0.743755	0.690988
3.63043	0.787759	15.6569
2.79354	0.880545	0.354557
3.33646	1.07581	-0.129317
3.95533	0.593985	1.24657
3.79416	1.0842	5.81108
4.20381	1.01874	-0.506341
4.08493	1.27438	1.20824
3.47561	1.62276	1.7961
3.91396	0.868327	-0.558047
3.3737	0.959165	14.7459
3.25016	0.59202	-3.17928
3.28019	0.841304	-48.0179
3.94435	0.72639	0.471102
3.34767	0.96582	0.000766299
3.58655	1.17768	-3.83092
3.74618	1.09713	1.81625
3.45573	0.957529	-8.43422
3.67851	0.583697	-1.10607
3.90054	0.816083	-1.44998
3.54342	1.33968	-1.43884
3.05878	0.753613	-0.772464
4.57116	1.20138	-0.891781
3.73101	1.0863	-0.610834
2.68914	0.95337	1.08335
3.78542	1.51615	-5.36177
3.7704	1.06615	0.602569
3.56702	0.924904	-1.58567
3.80842	0.790932	-0.223227
3.8541	0.692731	0.380012
3.54686	0.643589	4.03815
2.95425	0.801484	-2.66926
3.33196	0.65581	-0.706562
3.12637	0.96556	-2.23443
3.67128	0.912346	0.0893063
3.78351	1.23261	1.47933
3.46045	0.873106	-1.18522
3.56514	0.938268	-0.904795
3.92692	1.10339	-0.42658
4.6206	1.22157	2.46626
4.44741	1.4833	-1.44405
3.6345	0.787404	0.326009
2.99507	1.23623	-0.0650141
3.6286	1.34058	-5.91612
4.09999	0.984803	-4.09906
3.8343	0.974316	0.644243
2.95916	0.789691	-0.368342
2.44979	1.03527	0.207907
2.36999	1.19345	-0.802233
2.94212	1.25436	-0.208725
3.70754	0.811704	0.0668433
3.35591	0.648625	-0.956934
3.00483	0.599674	0.509316
4.03872	1.66431	-6.72205
2.67575	1.26525	31.5828
3.04197	0.702375	-0.492345
2.95119	0.783337	-0.315706
4.02232	0.741391	-1.58087
2.6539	0.828877	1.97835
4.13007	1.03955	-2.45367
4.05123	1.42219	-6.41627
3.57076	0.852762	0.433236
4.29493	0.835432	0.337643
3.76616	1.08675	-1.74209
3.54435	1.04143	1.66034
