Uniform	Exponential	Cauchy
5.43245	0.42136	-1.49054
1.82546	3.65863	0.68856
2.98335	0.997018	-1.05945
4.96281	0.600605	0.121538
3.77815	1.23497	0.569462
4.97177	1.04106	-2.451
4.12893	0.824041	1.13794
5.36631	0.498126	11.0672
4.42177	0.704052	-3.82062
1.2299	0.557245	-1.34675
2.17695	0.212228	0.228983
2.51808	1.14763	0.262326
5.12669	0.0876353	-0.444436
3.00036	0.579587	-1.07906
4.81146	1.0939	2.1054
4.94269	0.569249	0.562712
3.79499	1.17002	-0.554227
4.2888	2.62798	-0.643177
2.49606	0.530396	-0.978851
5.80601	0.420698	-0.246629
1.54162	0.654354	-0.697293
5.57665	0.467303	-18.0994
1.75052	0.305944	-0.640186
1.37629	0.278023	-0.324938
1.66345	2.2659	0.117458
5.92342	0.381945	4.46331
5.54715	2.31555	2.51998
3.8392	0.430787	0.164155
2.41278	0.409187	-0.949544
1.29553	2.7282	0.198166
3.99062	2.21016	-0.172214
2.01154	0.560304	0.340805
1.04949	0.159346	-0.0296633
5.46929	1.56831	3.85867
4.45069	0.326153	4.00134
2.26521	5.35229	0.556072
1.91249	0.814861	-0.825198
2.71448	0.37067	0.647168
5.53617	0.474968	-0.221443
3.96515	0.597212	0.789729
5.45319	0.568175	-2.57851
1.40129	1.68793	1.99062
4.07227	0.0251648	-0.251431
1.84314	1.60417	1.58265
2.63645	1.59972	-0.096298
4.54274	3.46854	-6.57606
3.75834	0.589273	0.0898111
4.40572	0.147917	-0.784888
2.75844	0.234806	-1.27491
2.71923	0.379	-0.47312
5.96731	1.43492	0.684086
2.17084	3.42913	-2.74437
1.56937	2.08259	0.557164
5.74993	2.07642	3.1059
4.57557	0.0801509	-5.43647
1.23966	2.01205	-1.44709
3.23001	0.564988	-1.84493
1.5731	0.825601	-0.0982198
2.49927	1.19792	4.26162
2.46114	0.0623045	-9.36967
2.77453	0.449158	-0.0445692
2.05331	2.33424	-0.39176
2.32036	0.212564	0.0590353
4.79599	1.26071	-0.145757
2.69506	0.184851	0.358894
4.60742	0.45458	-0.349534
3.91787	0.0592893	0.0499099
1.01907	1.30474	37.7302
1.39184	0.853555	-0.495748
2.67428	1.44091	-0.322863
5.12441	0.767757	9.4716
1.73696	0.686096	-0.329637
4.53181	1.06053	-16.7411
4.96733	2.22465	-0.463441
1.19719	1.04582	-2.12906
3.9879	0.930886	-0.00520212
5.90218	0.205769	-3.27608
4.24899	1.77772	0.915504
4.26173	0.745979	-4.68517
2.11896	2.31007	1.90997
3.80489	0.375974	1.10707
2.93404	0.675506	6.67564
1.13486	0.537792	0.0926049
1.91059	0.842544	-0.330883
5.17626	0.703687	23.1727
5.3345	2.13294	0.127956
3.18434	1.70769	17.0773
4.28783	0.607601	0.836874
3.7913	1.49396	-0.359683
5.74551	0.625385	-5.02429
3.60211	1.60094	4.22273
4.69398	1.15631	-0.55827
3.57422	0.0855673	4.47758
2.07109	1.24207	1.55877
3.96754	1.66432	-0.347005
5.11498	0.221398	-0.770219
4.23252	0.150049	-2.12089
1.30851	1.16948	-1.65683
3.91083	0.0164356	4.2688
1.66678	0.17391	-295.251
1.29789	1.40747	-0.193702
4.24302	0.084819	0.210805
5.55155	2.84761	0.289918
4.9655	0.342119	-0.281893
1.92771	2.21224	0.789267
1.22085	0.521277	2.2516
1.0271	0.0267895	-0.106643
3.58831	0.883812	-1.41412
3.32062	0.685375	20.4974
1.2241	0.354808	-0.974536
4.52398	1.28665	0.121823
2.73674	2.44431	0.591532
2.74976	1.38817	0.389353
5.79842	0.435343	0.68184
4.81226	1.6045	-1.48517
2.69354	1.13667	1.18262
3.53001	0.637432	-8.86314
4.10102	0.0683581	-2.86059
5.23235	1.27776	-0.338894
1.3154	3.29309	-5.08714
4.82021	0.633309	-1.94041
2.63923	1.16901	-0.385155
2.61084	1.69381	-0.28565
5.15092	0.681147	0.278338
1.2171	0.98581	2.50596
3.63681	4.65996	-1.09851
1.74817	0.471306	1.12242
2.87391	0.0431814	-12.2339
5.42085	0.11195	-0.360862
5.65704	2.28858	-0.931335
2.3312	0.266409	-0.947998
2.66308	2.98049	-2.34813
4.73112	1.5178	11.4714
3.66799	0.403492	-4.0364
4.62441	0.692872	-0.261951
1.56098	0.36852	-35.2828
4.24903	1.15812	-6.96838
3.48036	0.00762737	-3.07557
5.67814	0.0132498	-0.460121
1.35641	0.133682	-0.0140359
1.99166	1.26611	-1.28581
1.02358	0.229258	1.81731
5.49519	0.799312	2.68972
3.33913	0.946656	0.0597967
2.84084	0.329368	-0.587896
4.63751	0.070034	-1.12956
1.39809	0.694013	1.30298
1.58411	0.687907	-1.03708
4.61115	0.0963612	-10.5528
1.11044	0.720621	0.483449
2.36175	0.449165	0.843424
3.98121	0.297593	0.528972
4.39005	0.753372	-0.89964
2.03686	2.08345	1.14047
4.28597	0.548058	0.137635
1.80835	1.77583	-0.572409
1.62811	0.0676026	1.13029
2.92868	0.526668	5.28533
2.89086	2.48314	0.672079
1.56068	0.692485	-0.113371
4.78305	0.515474	-4.35832
5.9013	0.492352	3.01127
1.27926	0.0588683	-3.32466
3.33054	4.06922	-6.82942
5.28753	0.83455	-2.3359
3.46257	7.35368	-0.245149
2.22225	2.68903	-0.384191
4.15475	1.0385	-1.89285
4.44904	0.935171	-0.259235
2.52912	0.225375	2.87305
1.22822	0.629276	-9.84212
5.30494	0.399986	1.90205
4.92751	1.49616	5.45483
4.13644	0.539539	-2.77017
5.63848	0.833757	-0.731696
1.9271	0.356386	-1.63425
1.59149	0.565892	-0.217882
1.02891	1.59513	-0.661839
4.88248	0.0791122	2.1438
1.19918	2.45961	0.252826
5.84215	0.0510149	1.16805
1.33167	0.206547	0.266881
4.99595	0.4508	-0.936716
5.26637	2.33631	-0.0953736
5.52133	0.06795	-0.713037
1.51371	0.0801182	-3.74543
1.27294	1.03608	-0.251024
3.65631	1.45031	-4.84823
2.98835	1.71906	-3.26457
3.83013	0.0672891	-0.167077
1.04823	1.28666	0.48297
2.22914	0.339392	1.83256
4.15419	0.585892	-0.333093
1.14048	2.30786	0.157187
5.99404	1.26961	-0.490042
4.56666	0.0928466	-1.45176
4.5901	0.296611	7.56029
2.48105	0.274958	29.1205
1.7125	0.943032	0.309622
4.17072	0.560865	-0.985978
2.26283	0.747743	0.247853
3.84323	0.0175361	0.408707
5.90514	5.32135	-0.863332
1.07362	0.300431	4.89102
3.06659	0.539475	-1.02556
1.38221	2.27316	0.863384
3.9375	4.90081	1.24001
3.14428	0.0374988	-1.74203
1.79349	0.864005	-0.595537
5.63429	2.17742	13.5115
3.47081	1.32057	-3.01529
1.21593	1.1352	-0.436011
5.27117	0.666127	0.177449
5.42343	1.29318	-3.47754
4.12645	0.921688	3.27663
3.40892	3.33655	0.131253
2.45841	0.635343	-5.97441
4.93533	0.523289	21.7013
2.34888	0.373789	-1.11902
4.95049	1.02996	0.675738
5.7763	0.330882	1.7943
1.15894	3.25485	1.34413
4.05054	3.42831	-0.420349
2.20915	1.35369	30.9362
4.90906	0.404161	0.212364
1.55078	0.824898	0.310781
3.91065	0.415053	1.08158
2.40256	0.518034	0.159589
5.87492	1.11241	1.30229
1.65742	3.83641	0.623267
5.85859	0.5024	-1.62124
1.87323	1.41412	0.98151
5.07366	3.40218	0.116388
3.60874	0.483135	0.331281
2.14197	0.402914	-1.67575
1.35688	0.791686	0.239964
2.09202	1.58303	3.15365
1.22205	0.426883	0.433374
1.14614	0.888343	7.73971
1.22523	1.63646	0.420077
1.70966	0.409052	-2.39524
4.07007	0.720936	7.58284
1.82466	2.27661	-0.880681
5.23131	1.24404	1.41553
1.31051	0.0410043	1.47493
2.68009	0.878747	-1.26307
5.09182	2.65154	1.82319
4.31503	1.77866	2.92601
4.87566	0.192158	0.58774
2.2442	2.28672	0.682236
2.03659	0.952194	-1.12307
1.06582	0.753287	-5.2947
5.11367	0.938375	-0.225503
3.31031	0.851145	6.6016
2.40142	0.0745411	-0.3669
3.54309	1.35202	-2.11366
5.86965	0.354459	0.527373
1.15064	2.22862	0.773979
3.83475	0.371914	2.18864
4.41314	0.499233	0.71824
3.63194	0.206454	3.99959
5.40829	1.78476	2.03874
2.22011	0.650691	0.137049
2.39157	0.179035	0.384257
4.20912	0.738859	0.597602
3.5279	0.243766	-0.289336
2.49961	0.429105	-2.41712
4.4333	0.542761	-3.73382
4.05491	1.38122	-1.00315
3.98388	0.585501	1.91383
4.28044	1.49071	-6.49804
5.17036	2.96439	-0.782752
4.44605	0.32812	-0.577883
2.81713	1.59755	-0.698163
5.91985	1.09265	-2.36785
2.97302	0.855264	-1.20209
1.02982	1.78021	0.212602
2.14162	0.701216	2.40016
3.34885	0.496978	-1.64103
2.44671	0.0734662	1.98051
5.01342	3.93988	-0.175313
5.53552	0.839854	-2.09054
1.58563	1.6731	0.213984
5.95161	0.815253	-0.0480995
5.41604	1.33188	-1.18624
4.31409	0.68361	-0.892184
3.51591	1.88373	-1.42629
1.14908	0.529809	-0.491105
2.89221	2.92346	3.10026
3.10496	1.46739	4.68478
5.23429	0.0634958	0.544907
3.9789	0.707811	-2.90872
4.30054	0.0726016	0.185875
3.69984	2.1267	0.37874
3.04506	0.276157	-1.74131
2.72097	0.939744	0.962398
1.66684	0.42766	5.3621
4.41442	0.250878	-1.54664
4.45651	1.20827	-1.29675
1.79647	0.124137	-1.49607
3.80222	1.50992	-6.33134
3.00166	1.04747	2.18409
4.35258	0.0226113	-3.31544
1.14731	2.13358	0.343217
1.50393	4.16672	-0.0600384
5.16963	0.462756	-1.66712
5.52176	0.14301	-0.0617296
2.86207	0.0841372	-0.296017
2.00384	0.495915	0.556519
1.86754	0.382247	0.546673
2.23596	3.36041	0.164819
5.18619	0.359531	0.798508
2.7436	3.14583	-1.04767
1.42198	1.20965	0.478789
1.32067	0.0734266	4.60137
1.18823	0.189392	-0.954711
2.34805	0.840397	0.00483911
5.30601	0.197561	-13.8146
1.70057	0.487078	-1.07806
5.71067	0.903848	0.286366
5.13406	0.400949	-0.346839
2.56848	0.436535	-0.161909
2.64831	0.236078	1.46738
2.39929	0.696074	0.694913
3.01964	0.296873	-5.89911
4.77884	0.307771	-0.452433
4.65428	0.120506	1.14957
4.70023	4.26931	-1.68233
2.26996	1.2639	-0.869353
3.57781	0.51536	1.69722
4.0656	0.107337	2.38896
4.88749	1.25451	-0.23687
5.20939	1.25729	-0.400038
2.6686	0.97924	0.236235
2.34723	0.68949	-0.430557
2.11894	0.0814807	-36.7684
5.51141	0.478314	0.424161
2.22282	0.525418	1.45229
4.27777	0.968518	-0.682349
4.92693	0.0576004	0.597933
2.71505	0.767284	0.877358
