Uniform	Exponential	Cauchy
4.08828	2.18861	0.147378
4.67948	0.864243	-1.05685
5.84965	0.697123	0.662206
3.34055	1.04653	-0.132989
2.53302	0.624324	0.361023
4.32132	0.922736	-0.392194
3.72828	0.937746	0.541241
4.44537	1.44311	0.295639
1.76687	0.535749	-21.3101
3.60253	1.06757	-0.202396
4.09307	0.416446	-0.359248
2.43116	1.76315	-1.65251
3.09399	1.28371	-0.0918275
3.45346	0.735948	-0.191407
3.20713	0.851252	-11.2511
3.91689	1.27905	-1.82539
2.37103	0.19843	4.66888
3.49583	0.575092	0.189471
4.84829	1.16462	0.664182
3.57301	0.87033	0.110835
3.35141	0.904026	-0.215941
3.55165	0.790219	-0.46727
3.77821	2.69462	0.0546556
5.36558	1.27596	2.80139
4.56063	0.273328	-0.29662
4.68246	0.699395	-0.586665
3.80962	0.491096	0.10768
3.6776	0.691557	-1.58052
5.57231	1.33984	0.00632589
3.44598	1.4116	-1.83658
3.89039	0.0605053	1.23016
2.18428	0.985978	-0.909229
5.05856	0.863986	-0.191693
4.09245	1.34343	-0.320633
2.43929	0.365647	-0.254971
4.70628	0.984638	-0.137826
2.61736	1.31232	0.612232
5.08309	0.695515	-3.3118
2.60994	1.83405	-5.58414
4.2381	0.156433	0.521074
1.63336	1.50188	0.849893
3.59839	0.652249	-0.859788
4.2256	1.25574	3.39681
3.94584	0.874788	22.5699
3.80741	1.01085	-0.385437
2.11381	0.676143	8.88409
4.31922	1.62051	3.75607
2.15188	0.217943	-1.06807
4.99425	0.937644	-0.42697
2.15598	0.995851	2.0943
2.52912	2.64166	-575.31
4.67108	1.80506	8.28173
4.11644	1.57881	-0.259493
4.51234	0.51998	1.28185
2.54252	0.469293	-0.193532
2.33615	2.23384	580.388
4.67662	1.27122	-4.68123
4.95255	1.49617	-0.639078
1.34521	0.929681	0.149946
4.14744	1.22137	7.39494
4.26915	0.362322	0.375701
2.42999	0.598968	-0.648182
4.22725	0.998816	-1.01898
2.20473	0.972971	-3.72485
3.99609	0.69853	1.90153
2.76688	0.837297	20.0857
5.31092	0.696098	-0.0166058
3.42686	0.527026	-1.20257
4.3211	1.48173	-1.08181
2.48676	0.757547	-0.447937
3.30856	1.17927	17.2501
2.53709	0.776412	-1.1428
1.64936	0.68951	0.128664
2.24321	0.529642	-2.07261
